City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
guadalupe y calvo,26.1,-106.97,74.62,38,10,4.03,MX,1600802721
pincher creek,49.48,-113.95,55.99,66,100,3.36,CA,1600802520
fortuna,40.6,-124.16,70.0,72,90,9.17,US,1600802722
beringovskiy,63.05,179.32,40.3,69,63,6.73,RU,1600802722
la serena,-29.91,-71.25,57.2,82,75,12.75,CL,1600802722
ambilobe,-13.2,49.05,71.11,76,19,4.23,MG,1600802722
cururupu,-1.83,-44.87,83.89,64,95,7.58,BR,1600802722
santa barbara,34.42,-119.7,79.0,58,7,1.01,US,1600802723
edson,53.58,-116.44,57.2,62,1,4.7,CA,1600802572
faanui,-16.48,-151.75,77.95,78,9,19.24,PF,1600802723
codrington,-38.27,141.97,47.26,91,78,9.91,AU,1600802585
szczecin,53.43,14.55,66.0,68,0,4.41,PL,1600802723
creel,27.75,-107.63,73.69,37,3,1.66,MX,1600802723
nouakchott,18.09,-15.98,84.2,74,0,13.87,MR,1600802723
college,64.86,-147.8,43.0,75,40,1.52,US,1600802724
atar,20.52,-13.05,99.12,24,0,7.49,MR,1600802724
beloha,-25.17,45.05,64.47,71,81,12.46,MG,1600802724
texarkana,33.43,-94.05,64.4,93,90,5.82,US,1600802724
pedernales,18.04,-71.74,91.4,55,40,13.87,DO,1600802724
killybegs,54.63,-8.45,53.6,100,90,18.34,IE,1600802724
pinega,64.7,43.39,44.74,73,87,12.97,RU,1600802725
katangli,51.71,143.23,39.38,83,0,3.89,RU,1600802725
primo tapia,32.22,-116.92,80.6,57,1,6.93,MX,1600802725
humberto de campos,-2.6,-43.46,87.46,55,24,10.58,BR,1600802725
lamu,-2.27,40.9,77.43,87,26,16.37,KE,1600802725
sarny,51.34,26.6,59.85,67,26,6.42,UA,1600802726
tomakomai,42.64,141.6,63.0,100,75,3.36,JP,1600802726
tirat karmel,32.76,34.97,77.0,82,0,8.32,IL,1600802726
bilma,18.69,12.92,93.34,13,0,6.33,NE,1600802601
villa carlos paz,-31.42,-64.5,79.0,15,0,23.04,AR,1600802649
malko tarnovo,41.98,27.53,64.0,67,0,10.29,BG,1600802726
colon,9.36,-79.9,87.8,94,75,12.75,PA,1600802726
bonnyville,54.27,-110.73,59.0,47,20,3.36,CA,1600802727
la ronge,55.1,-105.28,57.2,54,40,6.93,CA,1600802727
kamina,-8.74,24.99,76.28,45,100,3.44,CD,1600802727
raudeberg,61.99,5.14,54.0,92,100,26.57,NO,1600802727
dicabisagan,17.08,122.42,79.03,81,100,5.14,PH,1600802727
leningradskiy,69.38,178.42,38.73,88,100,16.42,RU,1600802519
oriximina,-1.77,-55.87,94.35,42,73,4.83,BR,1600802728
luzhou,28.87,105.44,65.93,82,100,0.94,CN,1600802728
ruteng,-8.61,120.47,61.88,93,49,1.77,ID,1600802729
koson,39.04,65.58,53.6,46,0,4.7,UZ,1600802729
adre,13.47,22.2,82.15,34,0,7.2,TD,1600802729
valdivia,-39.81,-73.25,57.2,54,75,3.36,CL,1600802729
gombong,-7.61,109.51,75.78,88,49,4.41,ID,1600802729
chikwawa,-16.03,34.8,78.06,53,0,12.26,MW,1600802729
virginia beach,36.85,-75.98,70.0,47,0,1.01,US,1600802559
xingtai,37.06,114.49,66.25,75,100,6.67,CN,1600802730
najran,17.49,44.13,84.2,12,44,4.7,SA,1600802730
svetlyy,54.67,20.13,62.01,87,0,4.47,RU,1600802730
sistranda,63.73,8.83,46.4,100,75,6.93,NO,1600802730
bulgan,48.81,103.53,42.51,89,5,2.71,MN,1600802731
houma,29.6,-90.72,78.01,82,100,8.01,US,1600802731
comodoro rivadavia,-45.87,-67.5,66.2,35,20,13.87,AR,1600802731
dullewala,31.84,71.44,92.1,23,0,5.77,PK,1600802732
manadhoo,5.77,73.38,81.55,78,100,14.36,MV,1600802732
galesong,-5.32,119.37,73.4,100,20,2.24,ID,1600802732
hastinapur,29.17,78.02,82.45,71,100,6.04,IN,1600802732
marsh harbour,26.54,-77.06,80.35,68,15,19.28,BS,1600802732
grindavik,63.84,-22.43,41.0,75,20,5.82,IS,1600802732
atambua,-9.11,124.89,71.22,86,6,4.5,ID,1600802733
paamiut,61.99,-49.67,37.83,78,0,14.23,GL,1600802733
carmen,18.63,-91.83,86.0,70,75,4.85,MX,1600802733
xiaoweizhai,26.19,107.51,61.34,90,100,5.41,CN,1600802733
odienne,9.51,-7.57,75.85,84,34,1.79,CI,1600802733
sinjar,36.32,41.88,79.27,26,0,11.16,IQ,1600802734
mahibadhoo,3.78,72.97,82.06,78,99,12.28,MV,1600802623
scottsbluff,41.87,-103.67,84.99,26,1,6.33,US,1600802734
havelock,34.88,-76.9,72.0,40,1,10.29,US,1600802561
kalmunai,7.42,81.82,82.54,65,77,7.18,LK,1600802734
anaconda,46.13,-112.94,73.99,24,1,5.82,US,1600802734
kanbe,16.71,96.0,78.8,88,75,2.24,MM,1600802735
coari,-4.08,-63.14,86.88,63,100,2.08,BR,1600802735
pochutla,15.74,-96.47,91.4,55,20,9.17,MX,1600802735
yendi,9.44,-0.01,75.7,91,100,3.8,GH,1600802735
half moon bay,37.46,-122.43,75.0,77,5,5.82,US,1600802565
blois,47.58,1.33,64.0,93,99,3.36,FR,1600802542
mandalgovi,45.76,106.27,50.23,45,0,5.73,MN,1600802736
inhambane,-23.86,35.38,65.41,74,35,9.75,MZ,1600802736
bollnas,61.35,16.39,50.99,83,99,5.44,SE,1600802737
otane,-39.88,176.63,55.0,70,100,7.0,NZ,1600802737
richards bay,-28.78,32.04,61.18,75,0,7.16,ZA,1600802737
berlevag,70.86,29.09,42.8,93,75,5.82,NO,1600802738
ascension,30.22,-90.9,77.0,78,90,6.93,US,1600802738
miri,4.41,114.01,75.2,94,40,6.93,MY,1600802738
chapais,49.78,-74.85,66.2,42,75,14.99,CA,1600802738
tondano,1.3,124.91,73.4,94,40,1.12,ID,1600802739
kulachi,31.93,70.46,90.28,20,0,3.85,PK,1600802739
nuristan,35.3,70.83,37.17,65,0,7.87,AF,1600802739
taoudenni,22.68,-3.98,103.44,8,1,7.99,ML,1600802739
malakal,9.53,31.66,77.43,78,97,3.53,SS,1600802739
florianopolis,-27.61,-48.5,69.01,48,75,10.29,BR,1600802740
shimoda,34.67,138.95,63.0,96,100,5.01,JP,1600802740
honningsvag,70.98,25.97,42.8,93,75,5.82,NO,1600802740
nabire,-3.37,135.48,74.97,91,100,2.44,ID,1600802740
kamenka,51.32,42.77,59.0,62,34,9.08,RU,1600802740
shingu,33.73,135.98,68.67,88,100,16.17,JP,1600802741
qiongshan,20.01,110.35,77.0,100,40,2.24,CN,1600802741
marrakesh,31.63,-8.01,89.6,21,40,5.82,MA,1600802507
taguatinga,-12.39,-46.57,98.91,21,79,3.91,BR,1600802741
lulea,65.58,22.15,46.4,60,100,4.7,SE,1600802741
north platte,41.12,-100.77,87.8,23,1,12.75,US,1600802741
requena,39.49,-1.1,69.01,53,0,8.5,ES,1600802742
carnaiba,-8.7,-37.67,90.23,37,85,18.28,BR,1600802742
tezu,27.92,96.17,74.1,87,100,2.26,IN,1600802742
puri,19.8,85.85,82.4,94,20,8.05,IN,1600802659
zyryanka,65.75,150.85,35.38,86,72,8.14,RU,1600802742
alyangula,-13.85,136.42,68.0,94,0,6.82,AU,1600802743
sorong,-0.88,131.25,78.1,85,100,3.76,ID,1600802743
aloleng,16.13,119.78,82.94,73,100,3.69,PH,1600802743
fukue,32.69,128.84,73.98,82,24,23.55,JP,1600802743
dubbo,-32.25,148.62,42.8,93,0,1.12,AU,1600802743
voronezhskaya,45.21,39.57,66.99,55,0,8.95,RU,1600802743
vega baja,18.44,-66.39,87.8,70,75,6.93,PR,1600802744
calama,-22.47,-68.93,77.0,7,0,19.46,CL,1600802744
rajula,21.05,71.43,78.82,86,100,9.08,IN,1600802744
laurel,39.1,-76.85,73.4,42,1,10.29,US,1600802623
hailar,49.2,119.7,45.88,94,100,0.94,CN,1600802486
san policarpo,12.18,125.51,78.04,88,82,4.83,PH,1600802744
almeria,37.17,-2.33,73.99,88,20,4.7,ES,1600802745
tautira,-17.73,-149.15,84.2,66,20,14.99,PF,1600802745
nichinan,31.6,131.37,72.59,76,63,13.11,JP,1600802745
tommot,58.96,126.29,38.98,75,0,2.28,RU,1600802745
show low,34.25,-110.03,78.8,20,40,6.93,US,1600802710
osa,57.28,55.46,51.19,88,100,16.96,RU,1600802746
taitung,22.76,121.14,78.13,78,100,7.47,TW,1600802746
broken hill,-31.95,141.43,50.0,71,0,8.05,AU,1600802746
wattegama,6.8,81.48,77.0,100,75,4.7,LK,1600802746
campbell river,50.02,-125.24,62.01,82,75,6.93,CA,1600802746
helong,42.54,129.0,51.71,87,94,1.68,CN,1600802747
derzhavinsk,51.1,66.32,42.6,76,57,10.45,KZ,1600802747
padang,-0.95,100.35,79.21,76,81,4.21,ID,1600802496
narrabri,-30.32,149.78,48.2,70,0,5.82,AU,1600802747
hualmay,-11.1,-77.61,67.51,65,21,9.55,PE,1600802747
isabela,6.71,121.97,77.0,100,75,1.12,PH,1600802748
segovia,41.17,-4.0,66.2,59,75,8.05,ES,1600802748
kuusamo,65.97,29.18,42.8,52,3,10.29,FI,1600802748
liepaja,56.54,21.04,51.8,93,79,8.25,LV,1600802748
mount gambier,-37.83,140.77,46.4,100,75,9.17,AU,1600802553
saint-georges,12.06,-61.75,89.6,66,40,16.11,GD,1600802748
tabas,33.6,56.92,80.6,22,0,4.7,IR,1600802697
hay river,60.82,-115.8,59.0,54,20,11.41,CA,1600802688
kieta,-6.22,155.63,79.88,73,100,3.06,PG,1600802749
awbari,26.59,12.78,81.63,24,0,8.23,LY,1600802749
anda,46.4,125.32,49.37,97,83,3.09,CN,1600802749
